epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.308,1.28091,0.81752,1.23316,0.68564,0.5658,0.60116,0.25616,1.91917,1.59443,1.33773,0.000333124,0.000333124,0.0670207
2,1080.5,1.25638,0.67227,1.23064,0.7385,0.61284,0.65212,0.2976,1.77409,1.227,1.2855,0.000665806,0.000665806,0.0340201
3,1608.72,1.2274,0.63304,1.21158,0.66753,0.60585,0.61267,0.28325,1.75838,1.10598,1.27748,0.000995888,0.000995888,0.00101683
4,2134.72,1.20406,0.59985,1.19376,0.75469,0.66434,0.71469,0.32588,1.72976,1.03465,1.24537,0.000991232,0.000991232,0.000991232
5,2660.89,1.18533,0.57224,1.18042,0.80707,0.67812,0.73029,0.35648,1.66267,0.9689,1.21245,0.000984449,0.000984449,0.000984449
6,3187.13,1.17876,0.55036,1.17163,0.80821,0.70457,0.74847,0.36992,1.63169,0.91505,1.21724,0.000975773,0.000975773,0.000975773
7,3712.89,1.16398,0.53696,1.16538,0.81314,0.70545,0.75412,0.37546,1.59625,0.91392,1.18808,0.000965239,0.000965239,0.000965239
8,4238.81,1.15766,0.52761,1.15513,0.80877,0.726,0.75666,0.38065,1.57181,0.90157,1.1959,0.000952889,0.000952889,0.000952889
9,4764.79,1.14605,0.51408,1.14904,0.84019,0.72982,0.77318,0.39008,1.58101,0.86796,1.17859,0.000938772,0.000938772,0.000938772
10,5290.39,1.13677,0.50437,1.1445,0.82184,0.74486,0.78862,0.40316,1.54103,0.86651,1.16866,0.000922942,0.000922942,0.000922942
11,5816.63,1.13032,0.49732,1.14198,0.84789,0.74952,0.80482,0.41435,1.51015,0.82976,1.15503,0.000905463,0.000905463,0.000905463
12,6342.04,1.12045,0.49026,1.13259,0.83187,0.76437,0.80874,0.41931,1.51892,0.80967,1.14662,0.000886404,0.000886404,0.000886404
13,6869.13,1.11849,0.48091,1.13221,0.84143,0.76669,0.81668,0.41592,1.52428,0.79501,1.14651,0.000865839,0.000865839,0.000865839
14,7397.05,1.11332,0.47778,1.12936,0.84827,0.77478,0.8163,0.4287,1.49693,0.78332,1.13544,0.000843851,0.000843851,0.000843851
15,7924.48,1.10696,0.47294,1.12704,0.84839,0.77905,0.81721,0.42544,1.49788,0.78032,1.14547,0.000820525,0.000820525,0.000820525
16,8452.02,1.10063,0.46387,1.12653,0.86054,0.79275,0.83344,0.43469,1.47821,0.76601,1.13844,0.000795954,0.000795954,0.000795954
